Supplementary Tables ,,,,,,
Table S1. Genotyping platforms with number clones,,,,,,
Genotyping platform,Source,Number of clones,Chips ,Fresh market,comments,
MN18AF6675-2,345.7433414,0.313315343,1.064213685,0.466384326,0.980189472,0.444742938
MN18AF6680-12,338.7285735,0.298341876,1.065046853,0.438292474,0.979468203,0.410395025
MN18AF6680-8,334.2132211,0.276874139,1.063363757,0.43149389,0.978992449,0.407126079
MN18AF6716-2,317.4707499,0.312373835,1.063530853,0.441809228,0.978997915,0.424860793
MN18AF6717-10,340.6235569,0.333784765,1.063126997,0.466394278,0.978690187,0.444204278
MN18AF6717-2,346.8972324,0.355815274,1.063832651,0.493123651,0.978865941,0.469109577
MN18AF6717-3,333.663862,0.340817862,1.06314175,0.481483551,0.97929785,0.453150105
MN18AF6717-6,336.5675086,0.357724542,1.062887452,0.491637856,0.979322465,0.476936474
MN18AF6717-7,319.476566,0.320851142,1.063563958,0.430893837,0.978238036,0.404673223
MN18AF6717-9,339.4854805,0.327512228,1.063642079,0.466412291,0.978598326,0.442035037
MN18AF6718-1,328.5123981,0.329249485,1.063783377,0.45958745,0.979631104,0.419377269
MN18AF6720-2,308.4201903,0.315958204,1.063945006,0.476448679,0.979577608,0.453423573
MN18AF6722-2,326.4287781,0.306020509,1.064561902,0.462539386,0.978552692,0.448830278
MN18AF6724-5,324.4299881,0.308408612,1.064190181,0.42825242,0.97842682,0.400209203
MN18AF6724-8,318.267781,0.307222405,1.064193556,0.424313673,0.979000668,0.39305067
MN18AF6724-9,314.3965453,0.291946116,1.064293606,0.417743552,0.979012088,0.386471875
MN18AF6725-1,329.0307965,0.317846331,1.06451595,0.421547209,0.979088442,0.394517144
MN18AF6725-2,326.9438448,0.300795567,1.063360769,0.440921011,0.980160905,0.415626698
MN18AF6726-2,318.6540671,0.302714193,1.063405384,0.449465512,0.980204803,0.430558578
MN18AF6726-4,335.8021665,0.290196535,1.063341527,0.440023115,0.980168314,0.423994545
MN18AF6728-7,340.3971538,0.304081706,1.063914776,0.435768145,0.980044025,0.439442384
MN18AF6729-1,310.7885533,0.273284059,1.062711894,0.404361454,0.980429574,0.38756758
MN18AF6730-3,325.8182341,0.314054582,1.062631646,0.452637145,0.980817,0.43573863
MN18AF6730-5,336.4202021,0.31229998,1.063601763,0.454112326,0.980807054,0.448774045
MN18AF6730-6,322.1080213,0.379161298,1.063469912,0.634724875,0.979223997,0.616470374
MN18AF6734-1,315.5820531,0.296634937,1.062710181,0.445169522,0.980498947,0.423240348
MN18AF6745-4,326.546678,0.261312117,1.064112526,0.406049217,0.97967868,0.360932944
MN18SR00045-1,379.5941221,0.096080364,1.065760227,0.10483201,0.984527425,0.247097632
MN18SR00045-3,390.909915,0.087349319,1.066348582,0.093099852,0.982152031,0.250575849
MN18TX17730-8,376.4727572,0.225924692,1.066253141,0.226097435,0.983391114,0.215215434
MN18TX17748-1,378.6157296,0.355731839,1.063650296,0.339001167,0.981826538,0.310589663
MN18W17037-19,375.4861837,0.382460863,1.065362603,0.35479996,0.985975841,0.327702349
MN18W17037-2,375.5262672,0.36100248,1.065748608,0.331463064,0.985090458,0.30286759
MN18W17037-21,342.956608,0.477192891,1.066853612,0.424681267,0.983953863,0.404585665
MN18W17037-24,374.0851708,0.408790304,1.068501102,0.383050685,0.983378072,0.33481387
MN18W17037-26,329.5604346,0.501746217,1.067276756,0.44363801,0.984090395,0.432341859
MN18W17037-27,357.6143909,0.463868635,1.067164201,0.382847873,0.983401597,0.389953874
MN18W17037-32,433.4639159,0.340217309,1.063421363,0.326006825,0.982302969,0.28127968
MN18W17037-34,375.1382677,0.517936084,1.067790283,0.427112271,0.982970112,0.452351261
MN18W17037-36,368.6879652,0.377426051,1.066753147,0.353266119,0.985939169,0.336636765
MN18W17037-9,334.0638422,0.29412787,1.063479294,0.447404525,0.979845542,0.433930087
MN18W17039-1,374.490547,0.403597109,1.068555017,0.376578736,0.982926512,0.358744178
MN18W17039-12,338.8336796,0.285991802,1.064147738,0.421071626,0.980153261,0.40333844
MN18W17039-13,326.3959997,0.279509985,1.063827681,0.429610387,0.979690378,0.415587925
MN18W17039-27,378.329324,0.396073752,1.070385304,0.377192385,0.98523611,0.35069599
MN18W17039-5,401.3807117,0.543098246,1.071282083,0.463671171,0.984656155,0.466011316
MN18W17043-11,406.6942546,0.336223672,1.067435902,0.304557086,0.983890107,0.269420982
MN18W17043-12,467.8000052,0.482648192,1.070259525,0.404334351,0.982972573,0.427972583
MN18W17043-14,349.861889,0.27560693,1.064032389,0.416476069,0.979685516,0.375995654
MN18W17043-17,333.1698685,0.347783172,1.064005713,0.467026573,0.980459959,0.46184303
MN18W17043-2,384.6599761,0.487089457,1.070923506,0.418723454,0.984179165,0.456108352
MN18W17043-3,372.0544111,0.462964984,1.06906886,0.428181696,0.985625742,0.420863627
MN18W17043-6,409.3341033,0.492108309,1.068638869,0.417163753,0.983577646,0.449931349
MN18W17043-7,435.0984493,0.368344307,1.068408662,0.341390952,0.98267152,0.317989709
MN18W17043-8,442.1413308,0.318702269,1.064720517,0.295508364,0.982987424,0.095068795
MN18W17052-15,315.8313267,0.423826191,1.068562868,0.404719688,0.987371505,0.321722109
MN18W17052-4,378.5667759,0.525647739,1.072926559,0.457958727,0.986122577,0.490465043
MN18W17052-6,369.7262023,0.516855952,1.070833233,0.432845339,0.984973717,0.456244806
MN18W17055-4,325.1040431,0.450673313,1.066819041,0.421955193,0.987272021,0.386639521
MN18W17057-1,315.0761209,0.419975057,1.068600287,0.394877808,0.985957186,0.383762879
MN18W17057-3,327.7788095,0.453659958,1.066965429,0.422622657,0.987269447,0.386548517
MN18W17057-5,342.2037189,0.465546694,1.066989361,0.339199002,0.984121971,0.387336748
MN18W17065-5,370.1791903,0.305813675,1.065027019,0.280592399,0.982222046,0.21190256
MN18W17065-7,325.2801945,0.292009402,1.063277708,0.447111321,0.979285487,0.428236516
MN18W17092-7,331.5089182,0.291825758,1.064053233,0.446499012,0.980266118,0.404224964
MN19AF6866-1,330.8515817,0.414076062,1.065597268,0.375712747,0.982138631,0.376782596
MN19AF6866-10,331.9578092,0.376284483,1.06592961,0.417482755,0.982794142,0.38747656
MN19AF6866-11,335.0376481,0.433313117,1.06579434,0.435287719,0.983161928,0.405947137
MN19AF6866-13,332.6610414,0.373359982,1.065836501,0.42216222,0.982685222,0.395158376
MN19AF6866-14,337.6635172,0.440008538,1.065835825,0.440611696,0.983074529,0.413399733
MN19AF6866-4,316.7852394,0.305427285,1.067038959,0.360280806,0.983378936,0.344519136
MN19AF6867-3,350.7831389,0.372365372,1.066873822,0.331776692,0.979731359,0.257625954
MN19AF6869-12,335.5018774,0.322815446,1.065847672,0.342294227,0.985421121,0.296343838
MN19AF6869-19,307.4652464,0.316798623,1.066802823,0.338185027,0.983864839,0.284763183
MN19AF6869-20,336.1117676,0.233254733,1.065630872,0.249920722,0.984372968,0.210967237
MN19AF6869-21,321.9578188,0.332881424,1.065458177,0.345685849,0.984656443,0.3003351
MN19AF6869-5,324.8726556,0.31200402,1.065682343,0.335254591,0.984563553,0.286213925
MN19AF6869-6,304.2740492,0.347272812,1.066262313,0.364355625,0.984298929,0.241434751
MN19AF6869-7,324.933138,0.4364417,1.067277864,0.402041482,0.985186207,0.392222433
MN19AF6892-10,383.4703551,0.305103365,1.069115107,0.316514179,0.983130507,0.271206898
MN19AF6892-2,365.7489494,0.307574776,1.069254073,0.325878337,0.98433376,0.280394536
MN19AF6892-9,392.1778624,0.400985087,1.07055243,0.376805706,0.982885042,0.360131198
MN19TX18010-1,380.6668353,0.265857062,1.064318342,0.292138359,0.982212508,0.2428161
MN19TX18014-1,321.7701512,0.253366705,1.065000803,0.26040773,0.983183895,0.214966434
MN19TX18014-4,345.8491284,0.232058553,1.065466248,0.242114564,0.983546383,0.092153109
MN19TX18031-1,390.7593104,0.249405204,1.064893018,0.280515492,0.982564152,0.233665961
MN19TX18032-1,360.9490224,0.420304436,1.063245825,0.388729994,0.983258118,0.39325195
MN19TX18032-10,328.1834856,0.413839123,1.061494115,0.386903744,0.983206548,0.393486422
MN19TX18032-5,378.6297066,0.40403407,1.062995795,0.377108971,0.983151336,0.377943476
MN19TX18032-6,363.2698367,0.286183592,1.062244433,0.306510065,0.982842152,0.272959687
MN19TX18032-9,376.0473307,0.317601566,1.062991466,0.334402472,0.983033355,0.296532682
MN19TX18054-2,369.5377231,0.329104976,1.064721904,0.311224442,0.982405297,0.294284984
MN19TX18093-1,499.7457496,0.3896995,1.066171485,0.359027135,0.980955785,0.349301951
MN19TX18120-1,377.6337561,0.32156588,1.066065851,0.300822979,0.982717855,0.309612375
MN19TX18171-1,366.850866,0.207488438,1.065326974,0.216999896,0.98197945,0.182531867
MN19TX18171-6,369.2321107,0.215580761,1.065328939,0.237779618,0.981353379,0.194048687
MN19TX18188-1,341.0656164,0.391622774,1.060746654,0.370583064,0.983253953,0.361351405
MN19TX18211-1,414.565444,0.341404614,1.064819753,0.335436931,0.981359782,0.322669436
MN19TX18212-7,375.1944022,0.37294833,1.062760414,0.342888585,0.982648503,0.329898303
MN19TX18212-8,403.6396435,0.274797168,1.063922294,0.294031395,0.98287517,0.243284612
MN19TX18260-1,371.8141072,0.352875154,1.067428219,0.307453382,0.982882118,0.316817155
MN19TX18280-2,396.7871788,0.404439384,1.063782975,0.384879112,0.981478821,0.316821278
MN19TX18304-1,447.0289094,0.376870243,1.065886985,0.33191974,0.979911488,0.335751288
Snowden,364.7681525,0.325997934,1.066128935,0.292664066,0.981896179,0.284391591
Superior,296.4383459,0.461674677,1.060949147,0.47645113,0.980797355,0.391700162
W17037-3,368.7165017,0.2935112,1.067090036,0.279344312,0.983374297,0.242717764
W17039-31,342.5608794,0.28572549,1.064161715,0.43851164,0.980024802,0.408423142
W17039-7,416.4603033,0.337882491,1.068662602,0.316712478,0.983222944,0.287279387
W17043-37,346.0287498,0.314479176,1.064156983,0.492223924,0.980138571,0.465442149
W17049-10,399.1712452,0.221103649,1.066573865,0.217065095,0.981425754,0.177742713
W17060-22,406.9901754,0.341844973,1.069024188,0.31969198,0.983527238,0.286714626
W17065-21,367.2267284,0.223829363,1.066298316,0.21711718,0.982409585,0.17198642
W17066-11,375.0220956,0.281671999,1.065698639,0.267184654,0.982024597,0.159592339
W17066-34,379.9568619,0.294251579,1.066468708,0.283385667,0.982451105,0.216863671
W17067-1,413.3052735,0.246494495,1.068495568,0.237797896,0.982373103,0.198294381
W17067-13,395.6945151,0.204141402,1.067200094,0.198637907,0.982483752,0.161320472
W17AF6670-1,399.6869745,0.241280284,1.068187457,0.233883626,0.981221752,0.196982644
W17AF6685-2,386.1899516,0.211900976,1.065560863,0.204733629,0.981329801,0.168171464
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Table S3. List of clones based on selection index with equal weights,,,,,,
clone_ID,value,rank,,,,
MN18W17052-4,1.464650934,1,,,,
MN18W17043-12,1.46383934,2,,,,
MN18W17039-5,1.463308389,3,,,,
MN18W17039-27,1.46228449,4,,,,
MN18W17043-2,1.462092921,5,,,,
MN18W17052-6,1.462069083,6,,,,
MN18W17043-3,1.461461635,7,,,,
W17060-22,1.461168071,8,,,,
MN18W17043-7,1.461164064,9,,,,
MN19AF6892-9,1.461161393,10,,,,
W17039-7,1.461051783,11,,,,
MN18W17043-6,1.461035145,12,,,,
MN19TX18093-1,1.460793646,13,,,,
MN19AF6892-2,1.460390036,14,,,,
MN18W17043-11,1.46036571,15,,,,
MN18W17052-15,1.46033421,16,,,,
W17067-1,1.460190743,17,,,,
MN19AF6892-10,1.460060164,18,,,,
MN18W17037-36,1.460022369,19,,,,
MN18W17057-3,1.459634557,20,,,,
MN18W17037-24,1.45948549,21,,,,
MN18W17055-4,1.459439313,22,,,,
MN18W17037-19,1.459372937,23,,,,
MN18W17057-1,1.45927897,24,,,,
MN18W17039-1,1.459200631,25,,,,
MN18W17043-8,1.459196143,26,,,,
MN18W17037-2,1.458973674,27,,,,
W17067-13,1.458753343,28,,,,
MN18W17037-34,1.458746109,29,,,,
MN18SR00045-1,1.458713642,30,,,,
W17AF6670-1,1.458622523,31,,,,
W17037-3,1.458340385,32,,,,
MN19TX18260-1,1.458315248,33,,,,
MN19AF6869-7,1.4581878,34,,,,
MN18TX17730-8,1.458081724,35,,,,
MN18W17037-27,1.457997929,36,,,,
MN19TX18304-1,1.457868754,37,,,,
MN18W17057-5,1.457844684,38,,,,
MN19AF6869-12,1.457799393,39,,,,
MN18SR00045-3,1.457759858,40,,,,
W17049-10,1.457676896,41,,,,
MN18W17037-21,1.457656869,42,,,,
W17066-34,1.45765584,43,,,,
MN18W17037-26,1.457543674,44,,,,
MN19TX18120-1,1.457498813,45,,,,
MN18W17037-32,1.457496537,46,,,,
MN19TX18212-8,1.457149313,47,,,,
MN19TX18031-1,1.457088223,48,,,,
W17065-21,1.457038302,49,,,,
MN19TX18211-1,1.457027406,50,,,,
MN19AF6869-20,1.45689739,51,,,,
MN19AF6869-5,1.456656159,52,,,,
W17066-11,1.456640682,53,,,,
MN19TX18014-4,1.456534076,54,,,,
MN19AF6869-21,1.456467217,55,,,,
Snowden,1.456451854,56,,,,
W17AF6685-2,1.456446482,57,,,,
MN19AF6866-4,1.456381014,58,,,,
MN19AF6869-19,1.456238576,59,,,,
MN18W17065-5,1.456158921,60,,,,
MN19AF6866-14,1.456125989,61,,,,
MN19AF6869-6,1.456081821,62,,,,
MN19TX18010-1,1.456067774,63,,,,
MN19TX18054-2,1.456067544,64,,,,
MN19AF6866-11,1.456065765,65,,,,
MN19TX18171-1,1.456055264,66,,,,
MN19TX18032-5,1.455806808,67,,,,
MN19AF6866-10,1.455768155,68,,,,
MN19TX18280-2,1.455762894,69,,,,
MN19TX18171-6,1.455679244,70,,,,
MN19AF6866-13,1.455651023,71,,,,
MN19TX18032-9,1.455620235,72,,,,
MN19TX18032-1,1.455396678,73,,,,
MN18TX17748-1,1.455258047,74,,,,
MN19TX18212-7,1.455147849,75,,,,
MN19TX18014-1,1.455059102,76,,,,
MN19AF6866-1,1.455017318,77,,,,
MN19AF6867-3,1.454819673,78,,,,
MN19TX18032-6,1.454504255,79,,,,
Atlantic,1.453763174,80,,,,
MN18AF6675-2,1.453195748,81,,,,
MN18AF6643-9,1.453168606,82,,,,
W17043-37,1.45313059,83,,,,
MN18AF6661-9,1.45307414,84,,,,
MN19TX18188-1,1.452985117,85,,,,
Lamoka,1.452984154,86,,,,
MN19TX18032-10,1.452970887,87,,,,
MN18AF6680-12,1.452955372,88,,,,
MN18AF6643-13,1.452932671,89,,,,
W17039-31,1.452920318,90,,,,
MN18AF6730-5,1.452900047,91,,,,
MN18AF6643-12,1.452872889,92,,,,
MN18W17039-12,1.45286812,93,,,,
MN18W17043-14,1.452852638,94,,,,
MN18W17043-17,1.452791038,95,,,,
MN18AF6728-7,1.452689249,96,,,,
MN18W17092-7,1.452616895,97,,,,
MN18AF6643-7,1.45255801,98,,,,
MN18AF6658-5,1.452393544,99,,,,
MN18AF6726-4,1.452228001,100,,,,
MN18AF6643-10,1.452197699,101,,,,
MN18AF6745-4,1.452035191,102,,,,
MN18W17037-9,1.452015371,103,,,,
MN18AF6717-2,1.451999332,104,,,,
MN18AF6725-1,1.451957914,105,,,,
MN18AF6725-2,1.451906355,106,,,,
MN18AF6730-3,1.451865441,107,,,,
MN18AF6718-1,1.451852857,108,,,,
MN18W17039-13,1.451847958,109,,,,
MN18AF6726-2,1.45166095,110,,,,
MN18AF6722-2,1.451493406,111,,,,
MN18AF6717-9,1.451397625,112,,,,
MN18AF6648-8,1.451373373,113,,,,
MN18AF6717-3,1.4513675,114,,,,
MN18AF6717-6,1.451323724,115,,,,
MN18AF6680-8,1.451309047,116,,,,
MN18AF6734-1,1.451301137,117,,,,
MN18AF6724-8,1.451277452,118,,,,
MN18AF6661-2,1.451221285,119,,,,
MN18AF6648-14,1.451216123,120,,,,
MN18AF6724-9,1.451209028,121,,,,
MN18AF6720-2,1.451174852,122,,,,
MN18AF6717-10,1.451164043,123,,,,
MN18W17065-7,1.45113779,124,,,,
MN18AF6730-6,1.451102666,125,,,,
MN18AF6724-5,1.451077136,126,,,,
MN18AF6729-1,1.451072644,127,,,,
MN18AF6716-2,1.450802968,128,,,,
MN18AF6648-9,1.45077689,129,,,,
MN18AF6717-7,1.450334264,130,,,,
MN18AF6648-10,1.450240512,131,,,,
MN04844,1.449796855,132,,,,
Superior,1.449635391,133,,,,
Cascade,1.449062237,134,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Table S4. List of clones based on selection index with different weights ,,,,,,
clone_ID,value,rank,,,,
MN18W17052-4,1.466167003,1,,,,
MN18W17043-12,1.46613043,2,,,,
MN18W17039-5,1.464990696,3,,,,
MN18W17043-2,1.463672244,4,,,,
MN18W17039-27,1.463587479,5,,,,
MN18W17052-6,1.463406824,6,,,,
MN19TX18093-1,1.463071504,7,,,,
MN18W17043-7,1.463005339,8,,,,
MN19AF6892-9,1.4629385,9,,,,
W17060-22,1.462755151,10,,,,
W17039-7,1.46270609,11,,,,
MN18W17043-6,1.462580396,12,,,,
MN18W17043-3,1.462482568,13,,,,
W17067-1,1.461924654,14,,,,
MN18W17043-11,1.461682842,15,,,,
MN19AF6892-2,1.461579865,16,,,,
MN19AF6892-10,1.461542035,17,,,,
MN18W17037-24,1.460777692,18,,,,
MN18W17037-36,1.460659641,19,,,,
MN18W17052-15,1.460607537,20,,,,
MN18W17039-1,1.460569948,21,,,,
MN18W17043-8,1.460546405,22,,,,
W17AF6670-1,1.460383269,23,,,,
W17067-13,1.460164397,24,,,,
MN18W17037-34,1.46001077,25,,,,
MN18W17037-19,1.459868308,26,,,,
MN19TX18304-1,1.459867943,27,,,,
MN18W17057-3,1.459797197,28,,,,
MN18W17057-1,1.45976095,29,,,,
MN18W17037-2,1.459652369,30,,,,
MN18W17055-4,1.45956181,31,,,,
MN19TX18260-1,1.459519238,32,,,,
MN18SR00045-1,1.459507678,33,,,,
W17037-3,1.459402775,34,,,,
W17049-10,1.459186143,35,,,,
MN18TX17730-8,1.459086939,36,,,,
MN18SR00045-3,1.459069407,37,,,,
MN18W17037-27,1.458983121,38,,,,
W17066-34,1.458855287,39,,,,
MN18W17037-32,1.458708002,40,,,,
MN19AF6869-7,1.458679472,41,,,,
MN19TX18120-1,1.458587102,42,,,,
MN18W17057-5,1.4585843,43,,,,
MN19TX18211-1,1.458425328,44,,,,
MN18W17037-21,1.458408704,45,,,,
MN18W17037-26,1.458231995,46,,,,
MN19AF6869-12,1.45814273,47,,,,
MN19TX18031-1,1.45813951,48,,,,
W17065-21,1.458125582,49,,,,
MN19TX18212-8,1.458120237,50,,,,
W17066-11,1.457762499,51,,,,
W17AF6685-2,1.457736183,52,,,,
Snowden,1.457573858,53,,,,
MN19AF6869-20,1.457371166,54,,,,
MN19TX18014-4,1.457180904,55,,,,
MN18W17065-5,1.457124741,56,,,,
MN19TX18171-1,1.457072473,57,,,,
MN19AF6866-4,1.457046872,58,,,,
MN19AF6869-5,1.457024492,59,,,,
MN19TX18010-1,1.457018054,60,,,,
MN19TX18054-2,1.456960326,61,,,,
MN19TX18280-2,1.456870325,62,,,,
MN19AF6866-14,1.456831128,63,,,,
MN19TX18171-6,1.456807188,64,,,,
MN19AF6869-21,1.456769764,65,,,,
MN19AF6866-11,1.456732715,66,,,,
MN19AF6869-19,1.45673091,67,,,,
MN19AF6866-10,1.456484684,68,,,,
MN19TX18032-5,1.45642469,69,,,,
MN19AF6869-6,1.456413183,70,,,,
MN19AF6866-13,1.456376388,71,,,,
MN19AF6867-3,1.456257625,72,,,,
MN19TX18032-9,1.456235648,73,,,,
MN18TX17748-1,1.456160046,74,,,,
MN19TX18032-1,1.455900026,75,,,,
MN19TX18212-7,1.45578268,76,,,,
MN19AF6866-1,1.455777766,77,,,,
MN19TX18014-1,1.455516489,78,,,,
MN19TX18032-6,1.454951584,79,,,,
Atlantic,1.454950575,80,,,,
MN18AF6643-9,1.454310229,81,,,,
MN18AF6643-13,1.45418283,82,,,,
Lamoka,1.454181338,83,,,,
MN18AF6675-2,1.454169682,84,,,,
W17043-37,1.454106553,85,,,,
MN18AF6680-12,1.454095766,86,,,,
MN18AF6661-9,1.453920514,87,,,,
MN18W17043-14,1.453907555,88,,,,
W17039-31,1.453887777,89,,,,
MN18AF6643-12,1.453845784,90,,,,
MN18W17039-12,1.453786773,91,,,,
MN18AF6643-7,1.453771872,92,,,,
MN18AF6730-5,1.453630309,93,,,,
MN18AF6728-7,1.45360438,94,,,,
MN18W17043-17,1.453602749,95,,,,
MN18W17092-7,1.45345125,96,,,,
MN18AF6658-5,1.453296905,97,,,,
MN18AF6717-2,1.453126393,98,,,,
MN18AF6726-4,1.453013074,99,,,,
MN18AF6725-1,1.453010317,100,,,,
MN19TX18188-1,1.453003362,101,,,,
MN19TX18032-10,1.453000389,102,,,,
MN18AF6643-10,1.452976785,103,,,,
MN18AF6745-4,1.452927289,104,,,,
MN18W17037-9,1.452853747,105,,,,
MN18AF6718-1,1.45272236,106,,,,
MN18W17039-13,1.45269881,107,,,,
MN18AF6725-2,1.452628768,108,,,,
MN18AF6722-2,1.452611784,109,,,,
MN18AF6717-9,1.452483088,110,,,,
MN18AF6730-3,1.452384088,111,,,,
MN18AF6648-8,1.452353349,112,,,,
MN18AF6726-2,1.45232079,113,,,,
MN18AF6648-14,1.452260879,114,,,,
MN18AF6680-8,1.452259198,115,,,,
MN18AF6661-2,1.452245211,116,,,,
MN18AF6717-3,1.45223843,117,,,,
MN18AF6724-8,1.452218781,118,,,,
MN18AF6717-6,1.45217849,119,,,,
MN18AF6717-10,1.452175024,120,,,,
MN18AF6724-5,1.452149074,121,,,,
MN18AF6724-9,1.452133155,122,,,,
MN18W17065-7,1.451966078,123,,,,
MN18AF6730-6,1.451942195,124,,,,
MN18AF6720-2,1.451923562,125,,,,
MN18AF6734-1,1.451800758,126,,,,
MN18AF6648-9,1.451755313,127,,,,
MN18AF6716-2,1.451649428,128,,,,
MN18AF6729-1,1.451546858,129,,,,
MN18AF6717-7,1.451312642,130,,,,
MN18AF6648-10,1.451050403,131,,,,
MN04844,1.449921273,132,,,,
Superior,1.449710153,133,,,,
Cascade,1.44901502,134,,,,
